a	а
amassing	накопичуючи
amassment	нагромадження
amateur	любительська
amateurish	любительські
amateurs	любителі
amative	аматорський
amatol	аматол
amatory	аматорський
amaze	вразити
amazed	вражений
amazement	подив
amazes	вражає
amazing	дивовижний
amazingly	дивовижно
amazon	амазонка
amazons	амазонки
ambassador	посол
ambassadors	посли
ambassadress	посол
amber	бурштин
ambergris	амбра
ambiances	амбіції
ambidextrous	великодушний
ambidextrous	великодушний
ambience	атмосфера
ambiences	атмосфери
ambient	навколишнє середовище
ambiguities	неоднозначності
ambiguity	неоднозначність
ambiguous	неоднозначне
ambit	амбіт
ambition	честолюбство
ambitions	амбіції
ambitious	амбітний
ambivalence	амбівалентність
ambivalency	амбівалентність
ambivalent	амбівалентний
amble	амбл
ambled	амблід
ambler	амблер
ambles	амблі
ambling	амбіція
ambo	амбо
ambrosia	амброзія
ambrosial	амброзіальний
ambulance	швидкої допомоги
ambulances	швидкої допомоги
ambulant	швидкої допомоги
ambulate	амбулат
ambulatory	амбулаторний
ambuscade	засідка
ambush	засідка
ambushed	засідка
ambushes	засідки
ameba	амеба
amebic	амебічний
ameer	амер
ameliorate	поліпшувати
ameliorated	поліпшена
ameliorating	меліруючий
amelioration	меліорація
ameliorative	меліоративні
amen	амінь
amenabilities	здатності
amenability	придатність
amenable	придатний
amenableness	прихильність
amend	виправити
amended	із змінами
amending	внесення змін
amendment	поправка
amendments	поправки
amends	виправляє
amenities	зручності
amenity	приємність
amenorrhea	аменорея
amenorrhoea	аменорея
amentia	аменція
amercement	америкс
america	Америка
american	американський
americium	америцій
amethyst	аметист
amiability	доброзичливість
amiable	привітний
amiableness	доброзичливість
amiably	доброзичливо
amicability	дружелюбність
